City,Latitude,Longitude
Udaipur,23.53,91.48
New Tehri,30.383333333,78.483333333
Kalpi,26.116666666,79.733333333
Karjat,18.9234,73.3251
Dr. Ambedkar Nagar,22.55,75.76
Mainpuri,27.23,79.02
Washim,20.1,77.15
Mahidpur,23.487222222,75.657222222
Tura,25.52,90.22
Bhilai Charoda,21.219788888,81.457511111
Jawhar,19.92,73.23
Karanja Lad,20.4833,77.4833
Rudrapur,28.970833333,79.397222222
Jahanpanah,28.521,77.246
Padrauna,26.904166666,83.980833333
Rupnagar,30.966388888,76.533055555
Narnaul,28.044444444,76.108333333
Malout,30.19,74.499
Malout,30.211111111,74.481666666
Talcher,20.95,85.23
Nurpur,32.3,75.9
Gonda,27.133333333,81.933333333
Sangrur,30.233333333,75.833333333
Kakrala,27.89222,79.19528
Kagal,16.58,74.32
Junnar,19.2,73.88
Karad,17.28,74.2
Kairana,29.4,77.2
Kairana,29.395277777,77.205277777
Shamli,29.45,77.32
Nabinagar,24.62,84.12
Dharashiv,18.166666666,76.05
Sanawad,22.18,76.07
Rajgarh,24.008333333,76.7325
Khandwa,21.83,76.33
Gohad,26.43,78.44
Gurdaspur,32.0333,75.4
Haldwani,29.2144604,79.527918
Hanumangarh,29.583333333,74.316666666
Gondia,21.45,80.2
Gumla,23.044444444,84.541666666
Hardoi,27.3947,80.1283
Gokak,16.16901,74.82393
Gokak,16.1667,74.8333
Golaghat,26.5239,93.9623
Golaghat,26.508961,93.969543
Hindaun,26.72,77.02
Hathras,27.36,78.03
Sribhumi,24.86666667,92.36666667
Khambhat,22.313114,72.619408
Wani,20.07,78.95
Maghar,26.76,83.13
Shahabad,27.643098,79.940195
Ramnagar,25.269166666,83.029722222
Ramnagar,25.270833333,83.028888888
Jejuri,18.272327777,74.1604
Rewa,24.516666666,81.283333333
Eluru,16.711666666,81.103055555
Palakkad,10.779166666,76.654722222
Mandya,12.524166666,76.895833333
Ghazipur,25.583333333,83.566666666
Mira-Bhayandar,19.3,72.85
Jhunjhunu,28.125555555,75.397777777
Sagar,23.83,78.71
Sagar,23.838888888,78.738611111
Jagdalpur,19.07,82.03
Rourkela,22.249166666,84.882777777
Roorkee,29.861388888,77.888888888
Tezpur,26.62,92.79
Nabha,30.37,76.15
Karaikudi,10.06666667,78.78333333
Hazaribagh,23.98,85.35
Lalitpur,24.690277777,78.418888888
Sivaganga,9.85,78.5
Sivaganga,9.866666666,78.483333333
Ajmer,25.35,72.616666666
Jaunpur,25.753611111,82.686944444
Khuldabad,20.00952222,75.18879722
Kashipur,29.213611111,78.955833333
Qadian,31.819166666,75.376388888
Kapilavastu,27.576455,83.054978
Sivasagar,26.98,94.63
Jaora,23.63,75.13
Dumka,24.27,87.25
Kulpahar,25.319,79.641
Tirupati,13.65,79.42
Firozabad,27.15,78.42
Rohtak,28.9,76.566666666
Muzaffarpur,26.12,85.383333333
Malerkotla,30.5167,75.8833
Rampur,28.788,79.019
Rampur,28.81014,79.02699
Etah,27.63,78.67
Gondal,21.97,70.8
Vidisha,23.5239,77.8061
Rajahmundry,16.983333333,81.783333333
Purnia,25.78,87.47
Wardha,20.75,78.616666666
Hisar,29.148888888,75.736666666
